Edge TPU Compiler version 16.0.384591198
Input: MEL_CNN_MODEL_FIXED_SHAPE.tflite
Output: MEL_CNN_MODEL_FIXED_SHAPE_edgetpu.tflite

Operator                       Count      Status

ADD                            12         Operation is working on an unsupported data type
TRANSPOSE                      8          Operation is working on an unsupported data type
MEAN                           8          Operation is working on an unsupported data type
SOFTMAX                        1          Operation is working on an unsupported data type
MUL                            12         Operation is working on an unsupported data type
CONV_2D                        4          Operation is working on an unsupported data type
FULLY_CONNECTED                1          Operation is working on an unsupported data type
RESHAPE                        16         Operation is working on an unsupported data type
MAX_POOL_2D                    3          Operation is working on an unsupported data type
RSQRT                          4          Operation is working on an unsupported data type
SQUARED_DIFFERENCE             4          Operation is working on an unsupported data type
SUB                            4          Operation is working on an unsupported data type
